Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,10.0,2017-08-19
2017_18,3,14.0,2017-08-26
2017_18,4,9.0,2017-09-10
2017_18,5,15.0,2017-09-16
2017_18,6,14.0,2017-09-23
2017_18,7,14.0,2017-09-30
2017_18,8,18.0,2017-10-14
2017_18,9,13.0,2017-10-21
2017_18,10,15.0,2017-10-28
2017_18,11,17.0,2017-11-04
2017_18,12,18.0,2017-11-18
2017_18,13,19.0,2017-11-25
2017_18,14,19.0,2017-11-29
2017_18,15,19.0,2017-12-02
2017_18,16,20.0,2017-12-09
2017_18,17,19.0,2017-12-13
2017_18,18,20.0,2017-12-18
2017_18,19,20.0,2017-12-23
2017_18,20,20.0,2017-12-26
2017_18,21,20.0,2017-12-30
2017_18,22,19.0,2018-01-02
2017_18,23,20.0,2018-01-13
2017_18,24,20.0,2018-01-22
2017_18,25,20.0,2018-01-30
2017_18,26,17.0,2018-02-03
2017_18,27,17.0,2018-02-10
2017_18,28,15.0,2018-02-24
2017_18,29,18.0,2018-03-03
2017_18,30,13.0,2018-03-10
2017_18,31,14.0,2018-03-31
2017_18,32,15.0,2018-04-07
2017_18,33,15.0,2018-04-14
2017_18,34,17.0,2018-04-22
2017_18,35,17.0,2018-04-28
2017_18,36,17.0,2018-05-05
2017_18,37,18.0,2018-05-08
2017_18,38,18.0,2018-05-13
