Season,Match,Position,Date
2022_23,1,0.0,2022-08-06
2022_23,2,19.0,2022-08-14
2022_23,3,10.0,2022-08-20
2022_23,4,11.0,2022-08-28
2022_23,5,14.0,2022-08-31
2022_23,6,15.0,2022-09-03
2022_23,7,19.0,2022-09-16
2022_23,8,19.0,2022-10-03
2022_23,9,20.0,2022-10-10
2022_23,10,19.0,2022-10-15
2022_23,11,20.0,2022-10-18
2022_23,12,19.0,2022-10-22
2022_23,13,19.0,2022-10-30
2022_23,14,20.0,2022-11-05
2022_23,15,20.0,2022-11-12
2022_23,16,18.0,2022-12-27
2022_23,17,19.0,2023-01-01
2022_23,18,18.0,2023-01-04
2022_23,19,15.0,2023-01-14
2022_23,20,13.0,2023-01-21
2022_23,21,13.0,2023-02-05
2022_23,22,13.0,2023-02-11
2022_23,23,14.0,2023-02-18
2022_23,24,13.0,2023-02-25
2022_23,25,13.0,2023-03-05
2022_23,26,14.0,2023-03-11
2022_23,27,14.0,2023-03-17
2022_23,28,14.0,2023-04-01
2022_23,29,14.0,2023-04-04
2022_23,30,17.0,2023-04-08
2022_23,31,18.0,2023-04-16
2022_23,32,18.0,2023-04-22
2022_23,33,19.0,2023-04-26
2022_23,34,17.0,2023-04-29
2022_23,35,17.0,2023-05-08
2022_23,36,16.0,2023-05-13
2022_23,37,16.0,2023-05-20
2022_23,38,16.0,2023-05-28
2023_24,1,16.0,2023-08-12
2023_24,2,15.0,2023-08-18
2023_24,3,8.0,2023-08-26
2023_24,4,14.0,2023-09-02
2023_24,5,9.0,2023-09-18
2023_24,6,8.0,2023-09-23
2023_24,7,11.0,2023-10-01
2023_24,8,11.0,2023-10-07
2023_24,9,13.0,2023-10-21
2023_24,10,15.0,2023-10-29
2023_24,11,16.0,2023-11-05
2023_24,12,12.0,2023-11-12
2023_24,13,15.0,2023-11-25
2023_24,14,15.0,2023-12-02
2023_24,15,16.0,2023-12-06
2023_24,16,17.0,2023-12-09
2023_24,17,17.0,2023-12-15
2023_24,18,17.0,2023-12-23
2023_24,19,17.0,2023-12-26
2023_24,20,17.0,2023-12-30
2023_24,21,16.0,2024-01-20
2023_24,22,17.0,2024-01-30
2023_24,23,17.0,2024-02-04
2023_24,24,17.0,2024-02-10
2023_24,25,17.0,2024-02-17
2023_24,26,16.0,2024-02-24
2023_24,27,17.0,2024-03-02
2023_24,28,17.0,2024-03-10
2023_24,29,17.0,2024-03-16
2023_24,30,17.0,2024-03-30
2023_24,31,17.0,2024-04-02
2023_24,32,16.0,2024-04-07
2023_24,33,17.0,2024-04-13
2023_24,34,16.0,2024-04-21
2023_24,35,17.0,2024-04-28
2023_24,36,17.0,2024-05-04
2023_24,37,17.0,2024-05-11
2023_24,38,17.0,2024-05-19
